"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","test..spec.js","",""
"","2","Resume upload test","firefox-lambdatest","Mon Jul 28 10:32:08 IST 2025","failed","Mon Jul 28 10:32:08 IST 2025","","uploadresume.spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","searchjobapply..spec.js","",""
"","16135","test","chrome","Mon Jul 28 10:11:01 IST 2025","passed","Mon Jul 28 10:11:17 IST 2025","","login.spec.js","",""
"","20870","test","chrome","Mon Jul 28 10:11:43 IST 2025","passed","Mon Jul 28 10:12:04 IST 2025","","test..spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:04 IST 2025","failed","Mon Jul 28 10:32:04 IST 2025","","Meetinglink.spec.js","",""
"","30042","Login and upload profile picture","webkit","Mon Jul 28 10:13:16 IST 2025","broken","Mon Jul 28 10:13:46 IST 2025","","Uploadprofilepicture.spec.js","",""
"","19584","test","firefox","Mon Jul 28 10:14:06 IST 2025","passed","Mon Jul 28 10:14:26 IST 2025","","logout.spec.js","",""
"","30037","Delete profile picture","chromium","Thu Jul 24 17:40:27 IST 2025","broken","Thu Jul 24 17:40:57 IST 2025","","Deleteprofilepicture.spec.js","",""
"","22413","test","webkit","Mon Jul 28 10:13:24 IST 2025","passed","Mon Jul 28 10:13:46 IST 2025","","Viewprofile.spec.js","",""
"","30128","test","firefox","Tue Jul 22 18:18:09 IST 2025","broken","Tue Jul 22 18:18:39 IST 2025","","Deleteprofilepicture.spec.js","",""
"","4","login and open meeting link","firefox-lambdatest","Mon Jul 28 10:31:53 IST 2025","failed","Mon Jul 28 10:31:53 IST 2025","","Deleteaccount.spec.js","",""
"","30079","test","firefox","Mon Jul 28 10:14:23 IST 2025","broken","Mon Jul 28 10:14:53 IST 2025","","searchjobapply..spec.js","",""
"","30081","test","chrome","Mon Jul 28 10:12:01 IST 2025","broken","Mon Jul 28 10:12:31 IST 2025","","Viewprofile.spec.js","",""
"","4238","basic test","firefox","Mon Jul 28 10:13:48 IST 2025","passed","Mon Jul 28 10:13:52 IST 2025","","basic.spec.js","",""
"","21767","test","firefox","Mon Jul 28 10:14:51 IST 2025","passed","Mon Jul 28 10:15:13 IST 2025","","Viewprofile.spec.js","",""
"","30272","Login and apply to a job","chrome-lambdatest","Mon Jul 28 10:46:18 IST 2025","broken","Mon Jul 28 10:46:49 IST 2025","","Applyjob.spec.ts","",""
"","30302","test","chrome-lambdatest","Mon Jul 28 10:48:14 IST 2025","broken","Mon Jul 28 10:48:44 IST 2025","","searchjobapply..spec.js","",""
"","25151","test","firefox","Mon Jul 28 10:14:26 IST 2025","passed","Mon Jul 28 10:14:51 IST 2025","","signup..spec.js","",""
"","27876","Login and apply to a job","firefox","Mon Jul 28 10:13:37 IST 2025","failed","Mon Jul 28 10:14:05 IST 2025","","Applyjob.spec.ts","",""
"","30056","Resume upload test","chrome","Mon Jul 28 10:11:56 IST 2025","broken","Mon Jul 28 10:12:26 IST 2025","","uploadresume.spec.js","",""
"","30026","Resume upload test","chromium","Thu Jul 24 15:21:52 IST 2025","broken","Thu Jul 24 15:22:22 IST 2025","","uploadresume.spec.js","",""
"","17379","test","chromium","Thu Jul 24 15:54:21 IST 2025","passed","Thu Jul 24 15:54:39 IST 2025","","signup..spec.js","",""
"","16149","test","chrome-lambdatest","Mon Jul 28 10:48:03 IST 2025","passed","Mon Jul 28 10:48:19 IST 2025","","Profileflow.spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","signup..spec.js","",""
"","13925","delete profile picture no waits","chromium","Thu Jul 24 18:13:09 IST 2025","passed","Thu Jul 24 18:13:23 IST 2025","","Deleteprofilepicture.spec.js","",""
"","17266","test","chrome-lambdatest","Mon Jul 28 10:48:19 IST 2025","passed","Mon Jul 28 10:48:36 IST 2025","","signup..spec.js","",""
"","17272","test","firefox","Mon Jul 28 10:14:16 IST 2025","passed","Mon Jul 28 10:14:33 IST 2025","","Profileflow.spec.js","",""
"","30036","test","chromium","Thu Jul 24 15:14:48 IST 2025","broken","Thu Jul 24 15:15:18 IST 2025","","uploadresume.spec.js","",""
"","4","test","firefox-lambdatest","Mon Jul 28 10:32:04 IST 2025","failed","Mon Jul 28 10:32:04 IST 2025","","login.spec.js","",""
"","15417","delete profile picture no waits","chrome-lambdatest","Mon Jul 28 10:46:18 IST 2025","passed","Mon Jul 28 10:46:34 IST 2025","","Deleteprofilepicture.spec.js","",""
